Epoch,Score,Tetrominoes,Cleared Lines
827,37,29,1
828,52,34,2
829,21,23,0
830,26,28,0
831,18,20,0
832,27,19,1
833,24,26,0
834,18,20,0
835,20,22,0
836,26,28,0
837,40,32,1
838,19,21,0
839,50,32,2
840,52,34,2
841,22,24,0
842,23,25,0
843,20,22,0
844,34,26,1
845,21,23,0
846,22,24,0
847,26,28,0
848,24,26,0
849,19,21,0
850,22,24,0
851,35,27,1
852,21,23,0
853,14,16,0
854,23,25,0
855,37,29,1
856,40,32,1
857,36,28,1
858,17,19,0
859,38,30,1
860,25,27,0
861,19,21,0
862,24,26,0
863,24,26,0
864,21,23,0
865,34,26,1
866,35,27,1
867,135,37,4
868,19,21,0
869,19,21,0
870,35,27,1
871,24,26,0
872,38,30,1
873,24,26,0
874,16,18,0
875,44,26,2
876,9,11,0
877,77,29,3
878,20,22,0
879,28,30,0
880,81,33,3
881,35,27,1
882,23,25,0
883,39,31,1
884,25,27,0
885,30,22,1
886,15,17,0
887,36,28,1
888,32,24,1
889,18,20,0
890,58,30,3
891,27,29,0
892,18,20,0
893,23,25,0
894,24,26,0
895,38,30,1
896,20,22,0
897,24,26,0
898,64,36,3
899,39,31,1
900,53,35,2
901,91,33,4
902,25,27,0
903,38,30,1
904,22,24,0
905,23,25,0
906,26,28,0
907,33,25,1
908,16,18,0
909,26,28,0
910,37,29,1
911,76,38,4
912,46,38,1
913,27,29,0
914,40,32,1
915,23,25,0
916,19,21,0
917,18,20,0
918,21,23,0
919,35,27,1
920,14,16,0
921,20,22,0
922,31,23,1
923,37,29,1
924,17,19,0
925,22,24,0
926,53,35,2
927,21,23,0
928,20,22,0
929,20,22,0
930,24,26,0
931,28,30,0
932,19,21,0
933,36,28,1
934,34,26,1
935,24,26,0
936,13,15,0
937,25,27,0
938,59,31,3
939,37,29,1
940,19,21,0
941,30,22,1
942,21,23,0
943,26,28,0
944,28,30,0
945,28,30,0
946,27,29,0
947,33,35,0
948,17,19,0
949,33,25,1
950,19,21,0
951,42,34,1
952,19,21,0
953,24,26,0
954,84,36,3
955,24,26,0
956,49,31,2
957,20,22,0
958,20,22,0
959,19,21,0
960,62,34,3
961,24,26,0
962,41,33,1
963,16,18,0
964,22,24,0
965,41,33,1
966,38,30,1
967,26,28,0
968,36,28,1
969,45,37,1
970,25,27,0
971,38,30,1
972,28,30,0
973,20,22,0
974,25,27,0
975,18,20,0
976,44,26,2
977,17,19,0
978,27,29,0
979,21,23,0
980,27,29,0
981,52,34,2
982,29,31,0
983,50,32,2
984,23,25,0
985,37,29,1
986,35,27,1
987,29,31,0
988,46,28,2
989,24,26,0
990,23,25,0
991,26,28,0
992,18,20,0
993,30,32,0
994,39,31,1
995,38,30,1
996,29,31,0
997,51,33,2
998,21,23,0
999,22,24,0
1000,25,27,0
1001,41,33,1
1002,63,35,3
1003,24,26,0
1004,19,21,0
1005,41,33,1
1006,15,17,0
1007,68,40,3
1008,26,28,0
1009,21,23,0
1010,39,31,1
1011,21,23,0
1012,37,29,1
1013,42,34,1
1014,35,27,1
1015,40,32,1
1016,25,27,0
1017,26,28,0
1018,44,26,2
1019,23,25,0
1020,13,15,0
1021,20,22,0
1022,24,26,0
1023,17,19,0
1024,19,21,0
1025,17,19,0
1026,33,25,1
1027,26,28,0
1028,34,26,1
1029,23,25,0
1030,20,22,0
1031,25,27,0
1032,20,22,0
1033,28,30,0
1034,39,31,1
1035,32,34,0
1036,24,26,0
1037,24,26,0
1038,69,41,3
1039,26,28,0
1040,42,34,1
1041,46,38,1
1042,41,33,1
1043,20,22,0
1044,37,29,1
1045,36,28,1
1046,47,29,2
1047,42,34,1
1048,34,26,1
1049,24,26,0
1050,22,24,0
1051,42,34,1
1052,24,26,0
1053,25,27,0
1054,21,23,0
1055,21,23,0
1056,37,29,1
1057,25,27,0
1058,36,28,1
1059,23,25,0
1060,35,27,1
1061,23,25,0
1062,25,27,0
1063,46,28,2
1064,26,28,0
1065,22,24,0
1066,38,30,1
1067,34,26,1
1068,49,31,2
1069,27,29,0
1070,42,34,1
1071,20,22,0
1072,22,24,0
1073,35,27,1
1074,32,24,1
1075,23,25,0
1076,27,29,0
1077,60,42,2
1078,37,29,1
1079,22,24,0
1080,37,29,1
1081,21,23,0
1082,20,22,0
1083,29,31,0
1084,21,23,0
1085,32,24,1
1086,21,23,0
1087,24,26,0
1088,40,32,1
1089,23,25,0
1090,36,28,1
1091,27,29,0
1092,17,19,0
1093,23,25,0
1094,21,23,0
1095,18,20,0
1096,23,25,0
1097,80,42,4
1098,23,25,0
1099,43,35,1
1100,33,35,0
1101,26,28,0
1102,27,29,0
1103,21,23,0
1104,37,29,1
1105,68,40,3
1106,26,28,0
1107,42,34,1
1108,37,29,1
1109,25,27,0
1110,30,32,0
1111,31,33,0
1112,24,26,0
1113,38,30,1
1114,44,36,1
1115,27,29,0
1116,48,30,2
1117,32,24,1
1118,23,25,0
1119,25,27,0
1120,28,30,0
1121,37,29,1
1122,27,29,0
1123,38,30,1
1124,69,31,2
1125,47,39,1
1126,52,34,2
1127,21,23,0
1128,55,37,2
1129,24,26,0
1130,52,34,2
1131,70,42,3
1132,30,32,0
1133,25,27,0
1134,20,22,0
1135,30,22,1
1136,26,28,0
1137,80,42,4
1138,52,34,2
1139,31,33,0
1140,31,33,0
1141,110,52,6
1142,25,27,0
1143,27,29,0
1144,24,26,0
1145,23,25,0
1146,57,39,2
1147,75,37,4
1148,73,35,4
1149,56,38,2
1150,41,33,1
1151,35,27,1
1152,66,38,3
1153,20,22,0
1154,21,23,0
1155,56,38,2
1156,25,27,0
1157,21,23,0
1158,42,34,1
1159,33,25,1
1160,33,25,1
1161,22,24,0
